Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
MSTZ,20473425,200,0.99,5,0.99,0.99,19907043,566382
ETHU,1552202,100,9.77,51,9.74,9.76,1540918,11284
UVIX,1186973,1302,3.24,2959,3.21,3.24,1147026,39947
BITX,1048042,100,60.65,4,60.56,60.62,1035947,12095
NVDQ,973798,475,3.38,14811,3.36,3.38,973676,122
IEFA,957619,1,74.02,25,72.70,73.63,947974,9645
NVDX,722549,108,17.43,110,17.37,17.38,715170,7379
UVXY,712475,100,19.37,400,19.27,19.36,700502,11973
INDA,705204,1,54.93,1,54.81,54.89,703944,1260
MSTU,665944,132,164.77,8,164.34,164.44,662621,3323
FBTC,572169,1400,85.42,1200,85.01,85.07,571241,928
IGV,491724,2,105.85,5,104.50,104.84,489494,2230
USMV,443607,2,94.79,0,0.00,94.75,438457,5150
VXX,310962,764,42.56,39,42.51,42.54,286863,24099
EFV,305924,0,0.00,1,53.59,54.74,305924,0
USHY,291259,50,38.40,38,37.51,37.53,290509,750
ARKG,283681,62,25.95,10,25.90,25.95,278012,5669
ARKB,248596,600,97.31,1200,97.04,97.52,248214,382
SVIX,241410,50,29.52,1,28.03,29.39,227961,13449
NOBL,209415,10,109.21,5,108.00,108.64,208823,592
QUAL,185401,2,186.00,1,185.00,185.29,185286,115
CBOE,178578,68,221.80,23,213.80,215.16,177662,916
GSST,154692,0,0.00,0,0.00,50.46,154692,0
ITB,137720,5,128.20,1,123.82,123.70,136687,1033
GOVT,136416,177,24.00,1,22.91,22.91,136358,58
FETH,120739,5700,36.09,1600,35.84,35.72,118663,2076
IYZ,120235,1,27.92,1,25.50,27.74,120235,0
BBJP,117421,14,59.70,14,54.05,57.65,112365,5056
EZU,107096,1,47.99,0,0.00,47.95,106737,359
COWZ,96567,2,63.00,1,55.21,60.87,96567,0
MTUM,87799,62,220.00,2,216.00,216.52,86771,1028
VIXY,85716,100,42.14,5,41.86,41.95,69855,15861
AAAU,82789,16,26.31,40,26.20,26.20,81670,1119
DFIC,74908,0,0.00,267,26.00,26.85,71923,2985
HYD,73886,0,0.00,10,49.75,52.85,73886,0
IYT,70076,0,0.00,24,71.00,74.72,70076,0
PAVE,67641,3,57.50,1,45.71,45.73,67270,371
SVXY,65062,105,53.28,100,53.01,53.10,61455,3607
BOXX,56924,200,109.88,4115,109.81,109.81,46788,10136
MOAT,56462,83,100.00,5,98.40,98.44,56462,0
GNOV,56397,0,0.00,0,0.00,35.31,56397,0
BBEU,50777,1,63.38,0,0.00,57.86,50508,269
VNM,50345,276,11.78,67,11.76,11.78,49745,600
QDTE,50254,289,42.70,1,42.63,42.70,49887,367
BTCW,49623,900,103.62,1900,102.90,103.24,49570,53
RDVI,48556,0,0.00,25,24.81,26.30,48556,0
CALF,47435,1,49.90,72,47.60,49.40,47074,361
CETH,45441,11000,18.03,11000,17.83,17.93,45018,423
BBHY,44522,0,0.00,0,0.00,47.09,44522,0
ESGV,44003,1,125.00,40,104.00,107.50,43508,495
FLOT,43461,7150,51.08,100,51.06,51.08,43261,200
SPYI,38594,2,52.38,500,52.28,52.28,38593,1
MAMB,37675,0,0.00,0,0.00,22.88,24049,13626
FRDM,36660,0,0.00,5,31.82,33.35,36660,0
KNG,35500,100,188.88,10,54.34,54.35,35400,100
HEFA,35009,3,36.00,2,34.00,35.19,35009,0
BTCZ,33740,9093,5.82,1700,5.79,5.78,32860,880
GOVZ,32601,1,20.84,0,0.00,11.12,32601,0
XDTE,32192,4,53.45,2,53.05,53.15,31992,200
PICK,31507,11,41.00,1,39.30,39.71,29453,2054
ICSH,31210,12000,50.66,303,50.64,50.64,31210,0
REM,30789,153,23.41,35,21.99,23.23,30734,55
EFAV,30603,0,0.00,0,0.00,73.88,29232,1371
BBUS,30547,1,114.00,21,99.00,109.07,30547,0
VUSB,29870,50,49.84,1000,49.80,49.81,25176,4694
DFIS,29046,0,0.00,91,24.26,25.39,29046,0
ARKX,28464,1,20.27,1,20.04,20.20,27885,579
JCPB,28382,0,0.00,1,42.12,47.20,28382,0
JBBB,28329,0,0.00,0,0.00,49.41,28329,0
ITA,27788,4,155.88,9,155.06,155.88,27778,10
IAGG,27308,5,56.00,0,0.00,52.28,27208,100
ICF,26713,8,66.98,25,62.86,65.35,26713,0
MPRO,26107,0,0.00,0,0.00,30.06,17328,8779
EFG,26036,0,0.00,0,0.00,101.11,25834,202
